8999164;Ulf Kulau
9007748;Ondrej Kuncar
9009242;Michael Kaufmann 0001
9012902;Kang Wang
9012928;Carsten Jürgens
9018240;Alexander Fay
9018651;Christoph Meinel
9019075;Daniel Kulesz
9022480;Holger Theisel
9023279;Joseph Fong
9026843;Jian Shi
9028419;Chang-Tsun Li
9029280;Danny Kopec
9032059;Shi-Ming Huang
9032168;Fernando Buarque de Lima Neto
9032371;Eric Schneider
9033312;Rocco De Nicola
9033642;Rafael Dueire Lins
9034058;Duncan P. Brumby
9036786;Florentin Ipate
9037861;Xiaodong Cai
9038023;David E. Rydeheard
9039836;Haoyi Xiong
9040707;Yacine Ouzrout
9041808;Allan Hanbury
9042240;Caroline Larboulette
9044107;Gilles Hubert
9045441;Jiazhou Chen
9046036;Damien Palacio
9046660;Lucie Naert
9048085;Sylvie Gibet
9048375;Guillaume Cabanac
9049270;Haijian Zhang
9049298;Julie Digne
9051941;Xiaowei Lv
9052374;Beatriz Marcotegui
9052402;Tom Vercauteren
9054168;Marco Lorenzi
9055530;Dmitry Efrosinin
9055538;Ahmad A. Saifan
9055841;Mark Pauly
9055990;Dong-Hyun Kim
9056023;Kayi Lee
9058488;Sze Sing Lam
9059048;Raimundas Matulevicius
9063369;Roberto De Prisco
9063690;Jie Zhang
9067179;Yuan Sun 0003
9068131;Hong Sun
9070401;Xufei Wang
9072518;Shan Huang
9074508;Abbas Rahimi
9076483;Jan Kalina
9076909;Kai Sachs
9079134;Stefan Wagner 0001
9080345;Tobias Isenberg 0001
9080548;Tino Weinkauf
9081106;Barry Smyth
9081145;Konstantinos E. Parsopoulos
9081233;Keqin Li 0001
9081340;Bart P. Knijnenburg
9081377;Rainer Kress 0001
9081418;Radko Mesiar
9081460;Emanuele Della Valle
9081461;Stefano Ceri
9081478;Gleb Beliakov
9081546;Witold Pedrycz
9081580;Xiaodong Li 0001
9081592;Yiyu Yao
9081606;Irene Celino
9081666;Marco Dorigo
9081677;Yi Li
9081724;Marco Brambilla 0001
9081807;Jean-Michel Morel
9081813;Paolo Bellavista
9081880;Dimitris Plexousakis
9082015;Kamesh Munagala
9082090;K. Mani Chandy
9082534;Lei Tang 0001
9082535;Huan Liu 0001
9082953;Nadia Magnenat-Thalmann
9083156;Jie Wu 0001
9083366;Bharadwaj Veeravalli
9083642;Wanlei Zhou
9083865;Bin Ma
9083913;Anders Yeo
9084219;Mark de Berg
9084293;Steve Hanks
9084296;Howard Barringer
9084297;Dov M. Gabbay
9085190;John H. Reif
9085357;Chen Wang
9085421;Ying Liu
9085835;David K. Y. Yau
9086731;Vincent Gauthier
9087098;Naoki Katoh
9087235;Qing Chen
9087238;Celso C. Ribeiro
9088187;Mingzhou Ding
9088188;Govindan Rangarajan
9088938;Giuseppe Berio
9088939;Mounira Harzallah
9089146;Ronald R. Yager
9089525;Dragan Nesic
9089630;Ian Dobson
9089653;Wei Ren
9089654;Steven X. Ding
9089699;Lars Grüne
9089898;Miguel A. Martínez-Prieto
9089899;Javier D. Fernández
9090048;Willy Susilo
9090368;Ernesto López-Mellado
9090500;Ignacio Rojas
9090596;Rafael García
9090598;Sonia Suárez
9090624;Javier Andrade Garda
9091068;Rajesh K. Gupta 0001
9091105;Massoud Pedram
9091561;János Pach
9091882;Chieko Asakawa
9092002;Mircea Nicolescu
9092248;Eric P. Xing
9092275;Luca Benini
9092470;Stefan A. Burr
9092652;Aloysius K. Mok
9092874;Sudipto Guha
9093365;Marcel Bergerman
9093367;Eldert J. van Henten
9093478;Robin R. Murphy
9093491;Atsuo Takanishi
9093492;Tetsunori Kobayashi
9093503;Monica N. Nicolescu
9093577;Kang Li
9093585;Masanori Arita
9093737;Stelvio Cimato
9093835;Nadia Heninger
9093898;Carlo Blundo
9094554;Shahadat Uddin
9094676;Frank Schweitzer
9094975;George Bebis
9095002;Wen Gao 0001
9095233;Rob Koper
9098412;Chandra Mohan Dasari
9110465;Tomoshiro Hirano
9122512;Heui-Su Son
9123768;Suo Gao
9125062;Maosong Wang
9126098;Hans P. Künzi
9131869;Qingling Zhu
9134861;Ismara Álvarez-Barrientos
9137385;Ruanyu Zhang
9141404;Haneen Farah
9141775;Juan F. Ramil
9141892;Matthias Felleisen
9141951;Federico Michele Facca
9143457;Muhammad Rizwan Arshad
9156095;Tyrone Keep
9168553;Yiyong Feng
9179758;Nir Kshetri
9181752;Frank Lindseth
9181780;Sung-Ho Bae
9185225;G. Reza Nasiri
9185565;Tuncay Candan
9186032;Martin Kilian
9186199;Nadia H. Hegazi
9187306;Guoai Xu
9187324;N. U. Ahmed
9188932;Simon Brent
9189489;Peng Cheng 0001
9191908;Qiannan Liu
9197489;Haiyang Xia
9199171;Sudeep Kundu
9199184;Yu-Chao Hua
9208906;Sergiy Shelyag
9223134;Rania A. Abougalala
9224486;Sven Pullwitt
9224600;Haifa Bin Jebreen
9226959;Kalyanasundaram Madhu
9231839;Jayakumar Jayaraman 0001
9234322;Mehdi Rezapoor Mirsaleh
9235163;Dong Ji
9235738;Kenneth L. Calvert
9236105;Massih-Reza Amini
9236744;Stephen D. Mayhew
9236769;Christian Fenger
9238510;Elena Braverman
9243119;Jeffrey E. Schaller
9243895;Fiona Cunningham
9243972;Qunying Wu
9244718;Yuichi Taguchi
9244974;Nicole L. Wagner
9251920;Runze Huang
9253857;Rakesh Kumar Misra
9256009;R. Saravana
9257998;Lukás Hejtmánek
9258760;Radha Poovendran
9259106;Nikolaos Papakostas
9259273;Daniel Sheppard
9259391;Zengyun Wang
9260403;George Koutsogiannakis
9261179;Xiang Cheng 0001
9262487;I. Matsui
9262519;Steven P. Wilder
9263010;Eva Hladká
9263417;Jorge García Duque
9264106;Ying Xue 0001
9265916;Xue Zhang
9266557;Peng Shi 0002
9266984;Fred Cohen
9267038;Ruilong Deng
9267794;Mitsuru Kodama
9272114;Ravi Paruchuri
9272953;Anne Parker
9273210;Dongsheng Yang
9273989;Quanxi Feng
9274088;Evguenii V. Kurmyshev
9274399;Yousuke Yamamoto
9276916;Jirí Denemark
9277765;Giuseppe Visaggio
9278538;Mingjun Xiao
9280730;Michael Mäs
9285231;Robert Harrison
9286137;Ganesh Janakiraman
9286263;Youmin Hu
9286613;Yilong Yin
9287420;Huanxi Liu
9295587;Wenxu Zhang
9303578;Guosheng Xu
9306146;José Luis Espinosa-Aranda
9312081;Carlo Prato
9316511;Junji Maeda
9316990;Á. Vigh
9318338;Hugo Costa
9318687;Jian Liu 0009
9318848;Paul Cotter
9319734;Miguel Angel Borges-Trenard
9321164;Kuei-Fang Hsiao
9321421;Kazem Taghva
9321864;J. M. Jover
9322299;Zhenjiang Li
9322612;Seong-Gi Kim
9322934;Shibo Zhang
9323018;Abdesslem Layeb
9323539;Ka Fai Cedric Yiu
9323546;Fuqiang Wang
9324384;Jen-Hsiang Chou
9325319;Uri C. Weiser
9325327;János Sztrik
9329878;R. Santhosh
9332809;Arati Prabhu
9334230;Zohar Yosibash
9336254;Muhammad Shahbaz 0003
9338715;Kim Ramchen
9338840;Shoudong Huang
9339694;Spyros Sioutas
9339921;Germano Resconi
9342198;Thomas C. Conway
9343161;Hiromitsu Hama
9343232;Linjie Zhu
9344415;Maria Teresa Baldassarre
9344928;MengChu Zhou
9346493;David Scott Warren
9346603;Lars C. Wolf
9346700;Danny Weyns
9346816;Peter Willett 0002
9350154;Jin Qin
9353195;Satoshi Morita
9355576;Shaohui Liu
9355782;Jindae Kim
9357367;Joris van der Hoeven
9359664;Jiansong Miao
9363470;José M. Giménez-García
9365462;Afshin Jamshidi
9370116;Lætitia Placido
9370172;Yunbae Kim
9371378;Zakaria Hocine
9372989;Eric S. K. Chin
9378996;Shin-ichi Iga
9386063;Yang Li 0086
9386586;Gang Zhang
9386928;Rob Nadolski
9387037;Masakazu Muraguchi
9390010;Savas Konur
9391444;Carlos Alberto Berenstein
9391456;Stephen J. Trevanion
9393343;Ping Wang 0020
9396650;Manfred Droste
9396660;Zhijun Ding
9396697;David H. C. Du
9396992;Saumya K. Debray
9397049;Hasan Ural
9397108;Peter van Rosmalen
9397440;Maria José del Moral
9397442;Fotis Foukalas
9397846;Di He
9398664;Mengxin Zhang
9400955;Irving Kalet
9401461;Silvia Pettinari
9401654;N. Kanagaraj
9403178;Helmut Pottmann
9404394;Lin Ma
9405730;Yu Lin
9407757;Michael Reich
9419051;Zhao Wang
9422236;Bin Guo 0005
9422394;Oleg Schilling
9422522;Krishna Pratap Singh
9422758;Koos Vrieze
9423429;Kun Jia
9424812;Gijs Schoenmakers
9425198;Chris Joslin
9426106;Weihua Cao
9426468;W. Zhang
9428449;P. R. Mukund
9428682;José M. F. Moura
9428797;Nazim H. Madhavji
9428798;Daniel A. Menascé
9429340;J. Gregory Morrisett
9430159;Junping Ding
9432530;Chenwang Yuan
