:ID;journal:string
12040115;World Wide Web
12040116;SIGMOD Rec.
12040117;SIGMOD Record
12040118;EAI Endorsed Trans. Ubiquitous Environ.
12040119;Int. J. Trust. Manag. Comput. Commun.
12040120;Expert Syst. Appl. X
12040121;Bull. dInformatique Approfondie et Appl.
12040122;Trans. Large Scale Data Knowl. Centered Syst.
12040123;Stud. Inform. Univ.
12040124;IEEE Intell. Transp. Syst. Mag.
12040125;Control. Cybern.
12040126;Syst. Control. Lett.
12040127;Sci. Comput. Program.
12040128;Found. Comput. Math.
12040129;Theor. Comput. Sci.
12040130;Electron. Notes Theor. Comput. Sci.
12040131;Inf. Technol. Dev.
12040132;EURASIP J. Adv. Signal Process.
12040133;IEEE Embed. Syst. Lett.
12040134;J. Assoc. Inf. Syst.
12040135;EAI Endorsed Trans. Ind. Networks Intell. Syst.
12040136;EAI Endorsed Trans. Cogn. Commun.
12040137;Int. J. Prod. Res.
12040138;Sci. Program.
12040139;Data Base
12040140;J. Lang. Model.
12040141;IET Comput. Digit. Tech.
12040142;Int. J. Syst. Sci.
12040143;WIREs Data Mining Knowl. Discov.
12040144;ACM SIGOPS Oper. Syst. Rev.
12040145;Comput. Support. Cooperative Work.
12040146;IEEE Trans. Instrum. Meas.
12040147;J. Artif. Intell. Res.
12040148;ACM Trans. Knowl. Discov. Data
12040149;Int. J. Soc. Netw. Min.
12040150;J. Netw. Intell.
12040151;Rundbr. GI Fachgr. 5 10 Informationssystem Archit.
12040152;J. Electron. Commer. Organ.
12040153;J. Commun. Inf. Networks
12040154;Int. J. Comput. Math. Learn.
12040155;Technol. Knowl. Learn.
12040156;J. Digit. Inf.
12040157;Perform. Evaluation
12040158;IEEE Trans. Intell. Veh.
12040159;IEEE Trans Autom. Sci. Eng.
12040160;Int. J. Comput. Linguistics Appl.
12040161;J. Web Eng.
12040162;J. Braz. Comput. Soc.
12040163;Math. Comput. For. Nat. Resour. Sci.
12040164;SIGART Newsl.
12040165;Intell.
12040166;SIGART Bull.
12040167;Int. J. Green Comput.
12040168;ACM Trans. Soc. Comput.
12040169;Data
12040170;IEEE Trans. Signal Inf. Process. over Networks
12040171;Inf. Polity
12040172;Int. J. Fuzzy Syst. Appl.
12040173;Adv. Hum. Comput. Interact.
12040174;Commun. Stat. Simul. Comput.
12040175;J. Comput. Inf. Technol.
12040176;Frontiers Neuroinformatics
12040177;Z. für Medienpsychologie
12040178;J. Media Psychol. Theor. Methods Appl.
12040179;Int. J. Metaheuristics
12040180;SIGCAS Comput. Soc.
12040181;Quant. Sci. Stud.
12040182;Photonic Netw. Commun.
12040183;Int. J. Adv. Intell. Paradigms
12040184;Eur. J. Control
12040185;Int. J. Artif. Intell. Educ.
12040186;Stat. Anal. Data Min.
12040187;ACM Trans. Auton. Adapt. Syst.
12040188;Atl. Mon.
12040189;Comput. Syst. Sci. Eng.
12040190;Netw. Model. Anal. Health Informatics Bioinform.
12040191;Adv. Appl. Math.
12040192;Int. J. Comput. Assist. Lang. Learn. Teach.
12040193;Electron. Commer. Res. Appl.
12040194;Int. J. Uncertain. Fuzziness Knowl. Based Syst.
12040195;Int. J. Comput. Model. Algorithms Medicine
12040196;Cryptogr. Commun.
12040197;Int. J. Cooperative Inf. Syst.
12040198;Artif. Intell. Rev.
12040199;J. Sens. Technol.
12040200;IEICE Trans. Fundam. Electron. Commun. Comput. Sci.
12040201;Informationstechnik Tech. Inform.
12040202;it Inf. Technol.
12040203;Elektron. Rechenanlagen
12040204;iJET
12040205;Int. J. Comput. Their Appl.
12040206;Int. J. Comput. Heal.
12040207;Commun. Inf. Syst.
12040208;Int. J. E Bus. Res.
12040209;Informing Sci. Int. J. an Emerg. Transdiscipl.
12040210;Int. J. Humanit. Arts Comput.
12040211;Int. J. E Health Medical Commun.
12040212;Int. J. Math. Oper. Res.
12040213;Int. J. Digit. Crime Forensics
12040214;Trans. Inst. Meas. Control
12040215;AI Open
12040216;Dyn. Games Appl.
12040217;Int. J. Biom.
12040218;Technol. Anal. Strateg. Manag.
12040219;J. Commun.
12040220;Prog. Artif. Intell.
12040221;Image Vis. Comput.
12040222;Comput. Environ. Urban Syst.
12040223;J. Inf. Technol. Manag.
12040224;J. Graph Theory
12040225;J. Artif. Soc. Soc. Simul.
12040226;Genet. Program. Evolvable Mach.
12040227;IEEE Trans. Parallel Distributed Syst.
12040228;IEEE Trans. Circuits Syst. Video Technol.
12040229;Robotics Auton. Syst.
12040230;Robotics
12040231;Arch. Mus. Informatics
12040232;Biomed. Signal Process. Control.
12040233;Database J. Biol. Databases Curation
12040234;Found. Trends Stoch. Syst.
12040235;Found. Trends Electron. Des. Autom.
12040236;AKCE Int. J. Graphs Comb.
12040237;J. Inf. Process. Cybern.
12040238;Schedae Informaticae
12040239;J. Inf. Commun. Ethics Soc.
12040240;IEEE Trans. Cogn. Dev. Syst.
12040241;IEEE Trans. Auton. Ment. Dev.
