Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Andrea Capiluppi,A study of open source software evolution data using qualitative simulation.,Knowledge Discovery,Group_C,2005-10,Healthcare NLP Summit 2022,Colin Tattersall,Yingpu Deng,Description of Reviewer_1 for article: 8904686,Description of Reviewer_2 for article: 8904686,EventAssign_8904686,EventRev1_8904686,EventRev2_8904686
Arne J. Glenstrup,Performance evaluation of multirate time division multiplexed wavelength routed optical networks.,natural language processing,Group_C,2003-26, Gartner Data & Analytics Summit,Emmanouil G. Tsardoulias,Ruyi Dong,Description of Reviewer_1 for article: 8542177,Description of Reviewer_2 for article: 8542177,EventAssign_8542177,EventRev1_8542177,EventRev2_8542177
Tetsuo Endoh,Study on Quantum Electro-Dynamics in Vertical MOSFET.,natural language processing,Group_C,2010-93-C, Gartner Data & Analytics Summit,Dénes Szücs,S. Sreenadh,Description of Reviewer_1 for article: 6573991,Description of Reviewer_2 for article: 6573991,EventAssign_6573991,EventRev1_6573991,EventRev2_6573991
N. Kanagaraj,Hybrid Renewable Energy Source Combined Dynamic Voltage Restorer for Power Quality Improvement.,natural language processing,Group_C,2022-40,Open Data Science Conference ,Xin Feng,Martin Kampel,Description of Reviewer_1 for article: 6231151,Description of Reviewer_2 for article: 6231151,EventAssign_6231151,EventRev1_6231151,EventRev2_6231151
Tino Weinkauf,Flow Visualization and Analysis Using Streak and Time Lines.,natural language processing,Group_A,2012-14,Healthcare NLP Summit 2022,Massimiliano Comisso,Habib F. Rashvand,Description of Reviewer_1 for article: 6722676,Description of Reviewer_2 for article: 6722676,EventAssign_6722676,EventRev1_6722676,EventRev2_6722676
Andrew S. Tanenbaum,File size distribution on UNIX systems: then and now.,natural language processing,Group_A,2006-40,Open Data Science Conference ,Robert Hartung,Emmanouil G. Tsardoulias,Description of Reviewer_1 for article: 6196431,Description of Reviewer_2 for article: 6196431,EventAssign_6196431,EventRev1_6196431,EventRev2_6196431
Seonah Lee,An Empirical Study on Using Multi-Labels for Issues in GitHub.,Knowledge Discovery,Group_A,2021-9,Open Data Science Conference ,Efuwa A. Quansah,Y.-D. Kim,Description of Reviewer_1 for article: 8419739,Description of Reviewer_2 for article: 8419739,EventAssign_8419739,EventRev1_8419739,EventRev2_8419739
Zhenzhan Wang,Tropical Cyclone Rainfall Estimates from FY-3B MWRI Brightness Temperatures Using the WS Algorithm.,natural language processing,Group_A,2018-10,Healthcare NLP Summit 2022,M. Y. Chan,Jangwoo Park,Description of Reviewer_1 for article: 6524343,Description of Reviewer_2 for article: 6524343,EventAssign_6524343,EventRev1_6524343,EventRev2_6524343
Rick Raymer,The Rock Stars of eLearning: An interview with Judy Katz.,databases,Group_A,2013-2013, Gartner Data & Analytics Summit,David R. Smith,José M. Giménez-García,Description of Reviewer_1 for article: 8141196,Description of Reviewer_2 for article: 8141196,EventAssign_8141196,EventRev1_8141196,EventRev2_8141196
Michel Mandjes,Mean sojourn times in two-queue fork-join systems: bounds and approximations.,big data,Group_C,2012-34,Women in Data Science,Salem Alkhalaf,Yen-Chang Chiu,Description of Reviewer_1 for article: 8713252,Description of Reviewer_2 for article: 8713252,EventAssign_8713252,EventRev1_8713252,EventRev2_8713252
Dongfang Yang,A Novel Particle Filter Aided by Interval Analysis Approach.,machine learning,Group_A,2013-42, Gartner Data & Analytics Summit,Chan Fook Mun,Dov M. Gabbay,Description of Reviewer_1 for article: 6220401,Description of Reviewer_2 for article: 6220401,EventAssign_6220401,EventRev1_6220401,EventRev2_6220401
Tarun Maini,Intelligent fuzzy rough set based feature selection using swarm algorithms with improved initialization.,machine learning,Group_C,2019-37, Gartner Data & Analytics Summit,Guangyan Zhang,Jerzy Konorski,Description of Reviewer_1 for article: 8612073,Description of Reviewer_2 for article: 8612073,EventAssign_8612073,EventRev1_8612073,EventRev2_8612073
Jun Cheng 0002,Local structure preserving discriminative projections for RGB-D sensor-based scene classification.,Knowledge Discovery,Group_B,2015-320,Women in Data Science,Alessio Di Simone,I-Wen Mike Chu,Description of Reviewer_1 for article: 6749612,Description of Reviewer_2 for article: 6749612,EventAssign_6749612,EventRev1_6749612,EventRev2_6749612
Enrica Gentile,Cloud Computing for Education: A Systematic Mapping Study.,Knowledge Discovery,Group_A,2018-61.0, Gartner Data & Analytics Summit,Marwa Selmane,Pavan Nuggehalli,Description of Reviewer_1 for article: 6767674,Description of Reviewer_2 for article: 6767674,EventAssign_6767674,EventRev1_6767674,EventRev2_6767674
