Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Stefan Marks,Immersive visualisation of 3-dimensional spiking neural networks.,Knowledge Discovery,Group_B,2017-8,Open Data Science Conference ,Daiqian Xie,Andreas Flache,Description of Reviewer_1 for article: 7820562,Description of Reviewer_2 for article: 7820562,EventAssign_7820562,EventRev1_7820562,EventRev2_7820562
Dochul Yang,Estimating High-Resolution Atmospheric Phase Screens From Radar Interferometry Data.,natural language processing,Group_C,2011-49, Gartner Data & Analytics Summit,Ibrahim Takouna,Bruce Fischl,Description of Reviewer_1 for article: 7629849,Description of Reviewer_2 for article: 7629849,EventAssign_7629849,EventRev1_7629849,EventRev2_7629849
Debadatta Swain,Decline in Phytoplankton Biomass along Indian Coastal Waters due to COVID-19 Lockdown.,databases,Group_B,2020-12, Gartner Data & Analytics Summit,Leonid Berezansky,Zhiping Wang,Description of Reviewer_1 for article: 6511699,Description of Reviewer_2 for article: 6511699,EventAssign_6511699,EventRev1_6511699,EventRev2_6511699
Marwa Selmane,A new greedy randomised adaptive search procedure for multiple sequence alignment.,machine learning,Group_A,2013-9,Open Data Science Conference ,Germain Garcia,Hongyuan Gao,Description of Reviewer_1 for article: 8868258,Description of Reviewer_2 for article: 8868258,EventAssign_8868258,EventRev1_8868258,EventRev2_8868258
Chen He 0001,Performance of Coherent Receivers for PCTH-Based UWB System with Diversiform Modulation Schemes.,Knowledge Discovery,Group_B,2008-91-A,Open Data Science Conference ,Khaled Alkhateeb,Mitsuhiro Ishihara,Description of Reviewer_1 for article: 6568063,Description of Reviewer_2 for article: 6568063,EventAssign_6568063,EventRev1_6568063,EventRev2_6568063
Lan Ye,Predicting creative performance from general causality orientations.,machine learning,Group_A,2014-7,Healthcare NLP Summit 2022,Steven D. Johnson,Davide Pellis,Description of Reviewer_1 for article: 6402368,Description of Reviewer_2 for article: 6402368,EventAssign_6402368,EventRev1_6402368,EventRev2_6402368
Michael N. Vrahatis,Recent approaches to global optimization problems through Particle Swarm Optimization.,Knowledge Discovery,Group_C,2002-1,Open Data Science Conference ,Mukesh Kumar,Christian Sallaberry,Description of Reviewer_1 for article: 8570577,Description of Reviewer_2 for article: 8570577,EventAssign_8570577,EventRev1_8570577,EventRev2_8570577
Yipin Sun,An efficient distributed key management scheme for group-signature based anonymous authentication in VANET.,databases,Group_C,2012-5, Gartner Data & Analytics Summit,Jie Shen 0001,Erich Strohmaier,Description of Reviewer_1 for article: 8739273,Description of Reviewer_2 for article: 8739273,EventAssign_8739273,EventRev1_8739273,EventRev2_8739273
Daniel Panario,Computing Gröbner bases associated with lattices.,Knowledge Discovery,Group_C,2016-10, Gartner Data & Analytics Summit,Yiming Zhao,Mehmet C. Vuran,Description of Reviewer_1 for article: 6422284,Description of Reviewer_2 for article: 6422284,EventAssign_6422284,EventRev1_6422284,EventRev2_6422284
Richard C. T. Lee,Symbolic Gray Code as a Multikey Hashing Function.,natural language processing,Group_B,1980-2,Healthcare NLP Summit 2022,Shlomo Shamai,Anna Lisa Ferrara,Description of Reviewer_1 for article: 7494281,Description of Reviewer_2 for article: 7494281,EventAssign_7494281,EventRev1_7494281,EventRev2_7494281
Xiao-mei Li,Recognition of college students from Weibo with deep neural networks.,machine learning,Group_C,2017-8,Healthcare NLP Summit 2022,Sylvie Gibet,Michael Yatauro,Description of Reviewer_1 for article: 8105500,Description of Reviewer_2 for article: 8105500,EventAssign_8105500,EventRev1_8105500,EventRev2_8105500
Robert Cartwright,Program Verification Through Soft Typing.,databases,Group_C,1996-28,Healthcare NLP Summit 2022,Yin Chaohui,Holger Karl,Description of Reviewer_1 for article: 8636016,Description of Reviewer_2 for article: 8636016,EventAssign_8636016,EventRev1_8636016,EventRev2_8636016
Chan Fook Mun,High-Performance FV Somewhat Homomorphic Encryption on GPUs: An Implementation using CUDA.,natural language processing,Group_B,2018-2018,Women in Data Science,Haizhou Li 0001,Germano Resconi,Description of Reviewer_1 for article: 8727457,Description of Reviewer_2 for article: 8727457,EventAssign_8727457,EventRev1_8727457,EventRev2_8727457
Pablo E. Martínez López,Fork Algebraic Datatypes.,big data,Group_B,1998-6,Women in Data Science,Sang-Chul Lee,Pedro M. Q. Aguiar,Description of Reviewer_1 for article: 8601339,Description of Reviewer_2 for article: 8601339,EventAssign_8601339,EventRev1_8601339,EventRev2_8601339
Jianyong Chen,A gene-level hybrid search framework for multiobjective evolutionary optimization.,Knowledge Discovery,Group_C,2018-30,Open Data Science Conference ,Massimiliano Comisso,Caishun Li,Description of Reviewer_1 for article: 7465523,Description of Reviewer_2 for article: 7465523,EventAssign_7465523,EventRev1_7465523,EventRev2_7465523
Andrei Popescu 0001,A Consistent Foundation for Isabelle/HOL.,machine learning,Group_C,2019-62, Gartner Data & Analytics Summit,Andreas Pecht,Yaonan Wang,Description of Reviewer_1 for article: 7341113,Description of Reviewer_2 for article: 7341113,EventAssign_7341113,EventRev1_7341113,EventRev2_7341113
P. Friderichsen,A new system for 3D ultrasound-guided placement of cerebral ventricle catheters.,machine learning,Group_A,2012-7,Women in Data Science,Massimiliano Orsini,Israel Rivera-Rangel,Description of Reviewer_1 for article: 7923870,Description of Reviewer_2 for article: 7923870,EventAssign_7923870,EventRev1_7923870,EventRev2_7923870
Satish Chand,A novel high capacity reversible data hiding scheme based on pixel intensity segmentation.,big data,Group_C,2017-76,Women in Data Science,Stefan A. Burr,Ricardo García-Ródenas,Description of Reviewer_1 for article: 8041995,Description of Reviewer_2 for article: 8041995,EventAssign_8041995,EventRev1_8041995,EventRev2_8041995
Xin Feng,A Joint Constraint Incentive Mechanism Algorithm Utilizing Coverage and Reputation for Mobile Crowdsensing.,natural language processing,Group_C,2020-20, Gartner Data & Analytics Summit,Armin B. Cremers,Xiao-mei Li,Description of Reviewer_1 for article: 7433646,Description of Reviewer_2 for article: 7433646,EventAssign_7433646,EventRev1_7433646,EventRev2_7433646
Wanrong Zhang 0002,An inductorless high linear UWB Cascode LNA with tunable active resistance feedback and post-linearization technique.,machine learning,Group_A,2013-44,Women in Data Science,Zhenzhan Wang,Rui Zhang 0034,Description of Reviewer_1 for article: 7917230,Description of Reviewer_2 for article: 7917230,EventAssign_7917230,EventRev1_7917230,EventRev2_7917230
Bo Wu 0006,A novel fault diagnosis method of bearing based on improved fuzzy ARTMAP and modified distance discriminant technique.,machine learning,Group_A,2009-36,Women in Data Science,Shiwen Mao,Alireza Tavakkoli,Description of Reviewer_1 for article: 6329121,Description of Reviewer_2 for article: 6329121,EventAssign_6329121,EventRev1_6329121,EventRev2_6329121
Stefan A. Burr,Some undecidable problems involving the edge-coloring and vertex-coloring of graphs.,machine learning,Group_A,1984-50,Healthcare NLP Summit 2022,Ulrike Püschmann,Emmanuel Reusens,Description of Reviewer_1 for article: 8481858,Description of Reviewer_2 for article: 8481858,EventAssign_8481858,EventRev1_8481858,EventRev2_8481858
Fred A. Masterson,AMPL: a modified programming language.,natural language processing,Group_A,1984-15,Open Data Science Conference ,Lukas Lanza,Nor Aina Mohd Jai,Description of Reviewer_1 for article: 8607394,Description of Reviewer_2 for article: 8607394,EventAssign_8607394,EventRev1_8607394,EventRev2_8607394
