Author,Article,Topic,Volume,Journal_name,Editor,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Mohammad Nazir Ahmad,The mediating role of knowledge integration in effect of leadership styles on enterprise systems success: The post-implementation stage.,databases,2015-28,J. Enterp. Inf. Manag.,Group_1,Dieter Haas,Chwan-Lu Tseng,Description of Reviewer_1 for article: 6783255,Description of Reviewer_2 for article: 6783255,EventAssign_6783255,EventRev1_6783255,EventRev2_6783255
Yun Lu,Robustness properties of a sequential test for vaccine safety in the presence of misspecification.,Knowledge Discovery,2014-7,Stat. Anal. Data Min.,Group_1,Giray Ökten,I-Wen Mike Chu,Description of Reviewer_1 for article: 6229565,Description of Reviewer_2 for article: 6229565,EventAssign_6229565,EventRev1_6229565,EventRev2_6229565
S. S. Yu,Languages and P0L schemes.,big data,2005-82,Int. J. Comput. Math.,Group_3,John Mortimer,Mehmet C. Vuran,Description of Reviewer_1 for article: 7831461,Description of Reviewer_2 for article: 7831461,EventAssign_7831461,EventRev1_7831461,EventRev2_7831461
Mehmet Ekmekci,Sustainable reputations with rating systems.,machine learning,2011-146,J. Econ. Theory,Group_3,Tomer Y. Morad,Robert Fitch,Description of Reviewer_1 for article: 6356174,Description of Reviewer_2 for article: 6356174,EventAssign_6356174,EventRev1_6356174,EventRev2_6356174
Mukesh Kumar,Industrial system dynamics for environmental sustainability: a case study on the UK medical technology sector.,big data,2017-31,Int. J. Manuf. Technol. Manag.,Group_3,Luis Gonzaga Sales Vasconcelos,Tzren-Ru Chou,Description of Reviewer_1 for article: 7717330,Description of Reviewer_2 for article: 7717330,EventAssign_7717330,EventRev1_7717330,EventRev2_7717330
Thomas C. Shermer,A Linear Algorithm for Bisecting a Polygon.,databases,1992-41,Inf. Process. Lett.,Group_2,Raúl Guinovart-Díaz,Georg F. Weiller,Description of Reviewer_1 for article: 7767117,Description of Reviewer_2 for article: 7767117,EventAssign_7767117,EventRev1_7767117,EventRev2_7767117
Chao-Yang Du,Estimating Dynamics of Terminal Lakes in the Second Largest Endorheic River Basin of Northwestern China from 2000 to 2017 with Landsat Imagery.,natural language processing,2019-11,Remote. Sens.,Group_3,Chi-Wang Shu,Germain Garcia,Description of Reviewer_1 for article: 6512573,Description of Reviewer_2 for article: 6512573,EventAssign_6512573,EventRev1_6512573,EventRev2_6512573
Kanghong Jing,SFLLN: A sparse feature learning ensemble method with linear neighborhood regularization for predicting drug-drug interactions.,natural language processing,2019-497,Inf. Sci.,Group_2,Luisa Mosti,Hamid Davoudpour,Description of Reviewer_1 for article: 6756810,Description of Reviewer_2 for article: 6756810,EventAssign_6756810,EventRev1_6756810,EventRev2_6756810
Ying Liu,Treating interactions systematically: a theme to cope with an aspect of the complexity of managing life-cycle software production.,Knowledge Discovery,1994-9.0,Softw. Eng. J.,Group_2,Sara Mahdavi-Hezavehi,Hans-Joachim Wunderlich,Description of Reviewer_1 for article: 6780566,Description of Reviewer_2 for article: 6780566,EventAssign_6780566,EventRev1_6780566,EventRev2_6780566
Nebojsa Jojic,Challenges in estimating percent inclusion of alternatively spliced junctions from RNA-seq data.,natural language processing,2012-13,BMC Bioinform.,Group_1,Lars Grüne,Daniele Cesarini,Description of Reviewer_1 for article: 7983239,Description of Reviewer_2 for article: 7983239,EventAssign_7983239,EventRev1_7983239,EventRev2_7983239
Luís Moreira-Matias,On Developing a Driver Identification Methodology Using In-Vehicle Data Recorders.,Knowledge Discovery,2017-18,IEEE Trans. Intell. Transp. Syst.,Group_2,Andreas Hennig,Baokang Zhao,Description of Reviewer_1 for article: 8091293,Description of Reviewer_2 for article: 8091293,EventAssign_8091293,EventRev1_8091293,EventRev2_8091293
Kentarou Fukuda,Web accessibility technology at the IBM Tokyo Research Laboratory.,machine learning,2004-48,IBM J. Res. Dev.,Group_3,Khaled Alkhateeb,Luisa Mosti,Description of Reviewer_1 for article: 7696724,Description of Reviewer_2 for article: 7696724,EventAssign_7696724,EventRev1_7696724,EventRev2_7696724
Mohan Krishnamoorthy,Autonomic smart manufacturing.,machine learning,2015-24,J. Decis. Syst.,Group_1,Takao Ueda,Kanghong Jing,Description of Reviewer_1 for article: 6728077,Description of Reviewer_2 for article: 6728077,EventAssign_6728077,EventRev1_6728077,EventRev2_6728077
Michael Thomas,Requirements for Kerberized Internet Negotiation of Keys.,Knowledge Discovery,2001-3129,RFC,Group_2,Mitsuhiro Ishihara,C. Lalas,Description of Reviewer_1 for article: 7234136,Description of Reviewer_2 for article: 7234136,EventAssign_7234136,EventRev1_7234136,EventRev2_7234136
Sergey Poslavskiy,Offline Navigation (Homing) of Aerial Vehicles (Quadcopters) in GPS Denied Environments.,big data,2021-9,Unmanned Syst.,Group_2,Peter Haddawy,Chi-Wang Shu,Description of Reviewer_1 for article: 8720371,Description of Reviewer_2 for article: 8720371,EventAssign_8720371,EventRev1_8720371,EventRev2_8720371
Andreas Hennig,A New Configurable Wireless Sensor System for Biomedical Applications with ISO 18000-3 Interface in 0.35 µm CMOS.,machine learning,2019-19,Sensors,Group_1,Guang R. Gao,Luiz F. G. Soares,Description of Reviewer_1 for article: 7426584,Description of Reviewer_2 for article: 7426584,EventAssign_7426584,EventRev1_7426584,EventRev2_7426584
Janette Lee,Redistributing the Population: GIS Adds Value to Historical Demography.,Knowledge Discovery,1996-8,Hist. Comput.,Group_2,Hans P. Künzi,Alexandra Siposová,Description of Reviewer_1 for article: 6671675,Description of Reviewer_2 for article: 6671675,EventAssign_6671675,EventRev1_6671675,EventRev2_6671675
Ludek Matyska,High-definition multimedia for multiparty low-latency interactive communication.,Knowledge Discovery,2006-22,Future Gener. Comput. Syst.,Group_3,Lucas Prilenski,Riste Skrekovski,Description of Reviewer_1 for article: 7676014,Description of Reviewer_2 for article: 7676014,EventAssign_7676014,EventRev1_7676014,EventRev2_7676014
Enrique Personal,Random Generation of Arbitrary Waveforms for Emulating Three-Phase Systems.,databases,2012-59,IEEE Trans. Ind. Electron.,Group_3,V. Gourishankar,Eugene Krissinel,Description of Reviewer_1 for article: 8013626,Description of Reviewer_2 for article: 8013626,EventAssign_8013626,EventRev1_8013626,EventRev2_8013626
Ping Yan,New conditions for the intersection of orbits with the vertical isocline of the Liénard system.,databases,2009-49,Math. Comput. Model.,Group_3,Rick Raymer,Xiwang Zhang,Description of Reviewer_1 for article: 7502755,Description of Reviewer_2 for article: 7502755,EventAssign_7502755,EventRev1_7502755,EventRev2_7502755
